,A,B,C,D,E
0,512,963,1327,1074.0,1533.0
1,758,1705,653,949.0,1104.0
2,103,757,1031,496.0,230.0
3,1908,1024,691,1440.0,1418.0
4,1322,1665,1618,118.0,675.0
5,679,153,694,420.0,1010.0
6,293,450,1770,953.0,1534.0
7,1615,1880,1040,26.0,683.0
8,420,913,186,1944.0,1680.0
9,1195,790,1910,1252.0,118.0
10,940,216,12,528.0,391.0
11,1162,1638,620,498.0,1214.0
12,532,1067,1994,156.0,1623.0
13,875,189,1354,1291.0,1700.0
14,488,637,1147,1424.0,304.0
15,209,579,1302,1830.0,1806.0
16,1890,1754,1876,205.0,1235.0
17,1104,276,1794,1879.0,1673.0
18,45,1134,1278,174.0,112.0
19,263,1808,660,717.0,1592.0
20,1625,1342,993,1632.0,396.0
21,331,1396,1779,762.0,469.0
22,872,1904,1581,1549.0,1813.0
23,547,807,696,374.0,649.0
24,198,67,165,493.0,1475.0
25,1845,854,661,223.0,764.0
26,1458,252,474,103.0,1427.0
27,1497,1390,1564,971.0,805.0
28,1173,1475,1627,1345.0,1523.0
29,1364,671,1097,756.0,722.0
30,665,1669,1634,609.0,637.0
31,233,1017,1428,1070.0,857.0
32,320,1818,1264,370.0,846.0
33,1103,472,1364,867.0,412.0
34,345,1713,1318,1548.0,776.0
35,789,1372,1991,493.0,1706.0
36,113,1765,1191,1662.0,703.0
37,1702,1275,148,844.0,1170.0
38,228,1344,1185,387.0,1590.0
39,308,1678,1000,1679.0,1291.0
40,314,434,1820,1891.0,587.0
41,650,1301,563,814.0,20.0
42,388,1105,213,650.0,1362.0
43,1361,394,1214,1630.0,938.0
44,1055,1409,1551,917.0,655.0
45,860,1369,1070,1883.0,145.0
46,235,1289,1508,1379.0,1032.0
47,1187,290,1418,1815.0,393.0
48,143,1323,11,1495.0,162.0
49,423,458,498,546.0,938.0
50,1683,1822,447,1824.0,1560.0
51,1119,899,945,1374.0,1933.0
52,1716,1571,1677,1897.0,682.0
53,1256,1128,442,952.0,1864.0
54,1109,652,1411,803.0,1004.0
55,1421,791,731,1088.0,1484.0
56,1271,826,998,828.0,1363.0
57,474,1422,1653,1734.0,1077.0
58,260,1741,577,536.0,1677.0
59,708,745,1737,1638.0,586.0
60,787,1361,936,1470.0,1604.0
61,1661,827,524,619.0,1703.0
62,716,806,59,719.0,1156.0
63,795,1060,704,265.0,641.0
64,1059,1903,258,903.0,359.0
65,1913,450,1162,722.0,841.0
66,1121,57,737,156.0,888.0
67,90,776,303,1445.0,1542.0
68,1775,913,1047,1013.0,271.0
69,1361,1952,1053,1014.0,786.0
70,1094,1105,618,1076.0,1242.0
71,1350,257,1859,1806.0,1334.0
72,809,1378,1794,1950.0,525.0
73,1375,1278,947,752.0,473.0
74,1883,1283,953,1326.0,1976.0
75,1854,1564,428,1441.0,944.0
76,1106,811,976,1384.0,438.0
77,378,744,1761,67.0,301.0
78,612,1482,1492,1455.0,521.0
79,507,1291,1268,360.0,1447.0
